ID,Title,"File Name","File Size",Caption,"Alt Text",Description,URL,"Date Uploaded",Type
3444,"WhatsApp Image 2025-03-24 at 2.29.52 PM",WhatsApp-Image-2025-03-24-at-2.29.52-PM.jpeg,"98 KB",,,,https://afjltd.co.uk/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-24-at-2.29.52-PM.jpeg,"March 24, 2025",image/jpeg
3437,"Tackling Hospital Discharge Issues Effectively",Tackling-Hospital-Discharge-Issues-Effectively-1.png,"865 KB",,,,https://afjltd.co.uk/wp-content/uploads/2025/02/Tackling-Hospital-Discharge-Issues-Effectively-1.png,"February 7, 2025",image/png
3420,logo,logo.webp,"7 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/03/logo.webp,"January 13, 2025",image/webp
3414,"Greener Roads Start with Proper Vehicle Care",Greener-Roads-Start-with-Proper-Vehicle-Care-scaled.webp,"93 KB",,,,https://afjltd.co.uk/wp-content/uploads/2025/01/Greener-Roads-Start-with-Proper-Vehicle-Care-scaled.webp,"January 13, 2025",image/webp
3385,AFJ_Carbon_Reduction_Plan,AFJ_Carbon_Reduction_Plan.pdf,,AFJ_Carbon_Reduction_Plan,,,https://afjltd.co.uk/wp-content/uploads/2024/12/AFJ_Carbon_Reduction_Plan.pdf,"December 24, 2024",application/pdf
3383,AFJ_Carbon_Reduction_Plan,AFJ_Carbon_Reduction_Plan.docx,,AFJ_Carbon_Reduction_Plan,,,https://afjltd.co.uk/wp-content/uploads/2024/12/AFJ_Carbon_Reduction_Plan.docx,"December 24, 2024",application/vnd.openxmlformats-officedocument.wordprocessingml.document
3381,tube-spinner,tube-spinner.svg,"769 B",,,,https://afjltd.co.uk/wp-content/uploads/2024/12/tube-spinner.svg,"December 23, 2024",image/svg+xml
3380,1b4b94e01bc0fc69a326283c64ed63a6,1b4b94e01bc0fc69a326283c64ed63a6.webp,"5 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/12/1b4b94e01bc0fc69a326283c64ed63a6.webp,"December 23, 2024",image/webp
3359,"Key Factors for Ensuring Efficient and Reliable Transport Services for Students",Key-Factors-for-Ensuring-Efficient-and-Reliable-Transport-Services-for-Students.webp,"93 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/12/Key-Factors-for-Ensuring-Efficient-and-Reliable-Transport-Services-for-Students.webp,"December 23, 2024",image/webp
3345,"Rising Demand for Vehicles",Rising-Demand-for-Vehicles.webp,"134 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/12/Rising-Demand-for-Vehicles.webp,"December 5, 2024",image/webp
3312,30,30.webp,"65 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/12/30.webp,"December 2, 2024",image/webp
3311,35,35.webp,"66 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/12/35.webp,"December 2, 2024",image/webp
3304,"The Role of Technology in Enhancing Transport Safety for Vulnerable Populations",The-Role-of-Technology-in-Enhancing-Transport-Safety-for-Vulnerable-Populations.webp,"111 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/The-Role-of-Technology-in-Enhancing-Transport-Safety-for-Vulnerable-Populations.webp,"November 27, 2024",image/webp
3250,"Image 4",Image-4-1.jpg,"493 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/Image-4-1.jpg,"November 19, 2024",image/jpeg
3216,"Navigating the challenges of staff Retention in UK Transport Sector",Navigating-the-challenges-of-staff-Retention-in-UK-Transport-Sector.webp,"44 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/Navigating-the-challenges-of-staff-Retention-in-UK-Transport-Sector.webp,"November 14, 2024",image/webp
3173,1730980756373,1730980756373.webp,"51 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/1730980756373.webp,"November 13, 2024",image/webp
3140,"Image 2",Image-2.webp,"99 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/Image-2.webp,"November 12, 2024",image/webp
3125,tameside-metropolitan-borough-council-vector-logo-small,tameside-metropolitan-borough-council-vector-logo-small.png,"3 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/tameside-metropolitan-borough-council-vector-logo-small.png,"November 12, 2024",image/webp
3124,"WCC logo",WCC-logo.webp,"7 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/WCC-logo.webp,"November 12, 2024",image/webp
3104,"Image 1",Image-1.webp,"195 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/Image-1.webp,"November 12, 2024",image/webp
3103,"Image 4",Image-4.webp,"241 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/Image-4.webp,"November 12, 2024",image/webp
3031,"Image 3",Image-3.webp,"210 KB",,,,https://afjltd.co.uk/wp-content/uploads/2024/11/Image-3.webp,"November 12, 2024",image/webp
